Release,Gross,Theaters,Release Date,Distributor
2000 Mules,"$1,465,513",415,May 20,D'Souza Media
2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary2022 Oscar Nominated Short Films,"$1,645,735",355,Feb 25,ShortsTV
83,"$1,030,739",486,Dec 23,Reliance Entertainment
A Journal for Jordan,"$2,639,255","2,500",Dec 25,Sony Pictures Entertainment (SPE)
Acharya,"$832,000",396,Apr 29,Prime Media Pictures
After Ever Happy,"$1,072,750","1,144",Sep 7,Fathom Events
Aftersun,"$1,119,759",97,Oct 21,A24
Alice,"$372,529",169,Mar 18,Roadside Attractions
Ambulance,"$22,781,115","3,412",Apr 8,Universal Pictures
American Underdog,"$14,301,214","2,813",Dec 25,Lionsgate
Amsterdam,"$14,947,969","3,005",Oct 7,Walt Disney Studios Motion Pictures
Ante Sundharaniki,"$621,000",350,Jun 10,-
Armageddon Time,"$1,860,050","1,006",Oct 28,Focus Features
Avatar: The Way of Water,"$401,007,908","4,340",Dec 16,20th Century Studios
Avatar2022 Re-release,"$24,714,024","2,040",Sep 23,Walt Disney Pictures
Babylon,"$9,082,897","3,351",Dec 23,Paramount Pictures
Barbarian,"$40,842,944","2,890",Sep 9,20th Century Studios
Beast,"$31,846,530","3,754",Aug 19,Universal Pictures
Belfast,"$2,364,945","1,255",Nov 12,Focus Features
Belle,"$4,018,313","1,338",Jan 14,GKIDS
Black Adam,"$168,054,237","4,402",Oct 21,Warner Bros.
Black Panther: Wakanda Forever,"$436,499,646","4,396",Nov 11,Walt Disney Studios Motion Pictures
Blacklight,"$9,591,094","2,772",Feb 11,Briarcliff Entertainment
Bodies Bodies Bodies,"$11,446,602","2,541",Aug 5,A24
Bones and All,"$7,834,907","2,727",Nov 23,United Artists Releasing
Brahmastra Part One: Shiva,"$7,839,108",810,Sep 9,Walt Disney Studios Motion Pictures
Breaking,"$2,806,359",909,Aug 26,Bleecker Street Media
Brian and Charles,"$430,635",279,Jun 17,Focus Features
Bros,"$11,628,165","3,356",Sep 30,Universal Pictures
BTS Permission to Dance on Stage - Seoul: Live Viewing,"$6,840,000",803,Mar 12,Trafalgar Releasing
Bullet Train,"$103,368,602","4,357",Aug 5,Sony Pictures Entertainment (SPE)
Call Jane,"$512,770","1,068",Oct 28,Roadside Attractions
Clerks III,"$3,118,952",5,Sep 16,Fathom Events
Coldplay Music of The Spheres Live Broadcast from Buenos Aires,"$1,015,000",833,Oct 28,Trafalgar Releasing
"Confess, Fletch","$538,842",516,Sep 16,Paramount Pictures
Crimes of the Future,"$2,452,882",773,Jun 3,Neon
Cuando sea joven,"$588,028",315,Sep 23,Pantelion Films
Cyrano,"$3,873,124",797,Feb 25,United Artists Releasing
DC League of Super-Pets,"$93,657,117","4,332",Jul 29,Warner Bros.
Death on the Nile,"$45,630,104","3,420",Feb 11,20th Century Studios
Decision to Leave,"$1,353,860",169,Oct 14,MUBI
Deep in the Heart: A Texas Wildlife Story,"$480,240",69,Jun 3,-
Devotion,"$19,837,942","3,458",Nov 23,Columbia Pictures
Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534",May 6,Walt Disney Studios Motion Pictures
Dog,"$61,778,069","3,827",Feb 18,United Artists Releasing
Don't Worry Darling,"$45,309,403","4,121",Sep 23,Warner Bros.
Downton Abbey: A New Era,"$44,141,550","3,830",May 20,Focus Features
Dragon Ball Super: Super Hero,"$38,112,140","3,018",Aug 19,Crunchyroll
Drive My Car,"$2,019,670",213,Nov 24,Janus Films
Dune: Part One,"$1,151,687","4,125",Oct 22,Warner Bros.
E.T. the Extra-Terrestrial2022 Re-release,"$2,030,725",793,Aug 12,Universal Pictures
Easter Sunday,"$13,013,690","3,176",Aug 5,Universal Pictures
Eiffel,"$436,023",308,Apr 29,Blue Fox Entertainment
Elvis,"$151,040,048","3,932",Jun 24,Warner Bros.
